,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile,Price percentile,performance,portability,battery_qual,screen_qual
12,78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,2TB HDD,Intel HD Graphics 620,No OS,2.2,519.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.08578199052132701,0.3417535545023697,0.612559241706161,0.5392890995260664,0.5881516587677726
13,89,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,598.99,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.4156398104265403,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.14123222748815167,0.3417535545023697,0.47023696682464455,0.5448341232227488,0.5881516587677726
14,125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,629.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.16208530805687205,0.3417535545023697,0.612559241706161,0.5469194312796208,0.5881516587677726
15,174,Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1349.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.007582938388625592,0.514218009478673,0.03364928909952607,2160,0.9511848341232227,0.6597156398104265,0.3417535545023697,0.015402843601895734,0.48388625592417056,0.7676777251184834
16,196,Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce MX150,No OS,1.3,999.9,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.11895734597156399,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.4540284360189573,0.3417535545023697,0.11398104265402843,0.47706161137440756,0.4890995260663508
17,213,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,597.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.13696682464454976,0.3417535545023697,0.612559241706161,0.5444075829383886,0.2165876777251185
18,233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,891.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.8668246445497629,0.514218009478673,0.928909952606635,1920,0.5857819905213271,0.3677725118483412,0.3417535545023697,0.8854502369668246,0.6337440758293839,0.6544075829383887
19,272,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,No OS,2.2,467.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.05118483412322274,0.30146919431279623,0.612559241706161,0.5358293838862559,0.5881516587677726
20,307,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Core i5 7200U,6.0,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,2.8,649.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.8990521327014218,0.23507109004739338,0.928909952606635,1600,0.21327014218009477,0.17819905213270143,0.31383886255924176,0.9080094786729858,0.6147867298578199,0.35639810426540286
21,313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3,819.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.3127962085308057,0.3417535545023697,0.6706161137440758,0.5619905213270142,0.5881516587677726
22,323,HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.95,980.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.43601895734597157,0.3417535545023697,0.361042654028436,0.5061611374407582,0.5200000000000001
23,337,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,943.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.40568720379146916,0.3417535545023697,0.48715639810426536,0.5712796208530806,0.5881516587677726
24,425,Dell,Inspiron 3567,Notebook,15.6,1366x768,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.14,539.95,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.542654028436019,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.0966824644549763,0.3417535545023697,0.5591469194312796,0.5403791469194312,0.2165876777251185
25,446,Asus,VivoBook Max,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Linux,2.0,559.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.11042654028436019,0.30146919431279623,0.48715639810426536,0.5417535545023697,0.5881516587677726
26,457,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Core i5 7200U,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.91,589.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.38862559241706157,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.13222748815165877,0.3417535545023697,0.45132701421800947,0.5439336492890995,0.2165876777251185
27,484,Lenovo,Thinkpad T470,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,180GB SSD,Intel HD Graphics 620,Windows 10,1.7,1364.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.2909952606635071,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.6672985781990523,0.3417535545023697,0.2807582938388625,0.5292890995260663,0.5200000000000001
28,486,Toshiba,Portege X30-D-10J,Notebook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1672.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.007582938388625592,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.7800947867298578,0.3417535545023697,0.03601895734597156,0.5096682464454976,0.4890995260663508
29,497,Lenovo,Thinkpad E570,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.3,1011.99,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.46161137440758293,0.3417535545023697,0.6706161137440758,0.576872037914692,0.5881516587677726
30,506,Lenovo,ThinkPad L570,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,911.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.38862559241706157,0.3417535545023697,0.6706161137440758,0.5695734597156398,0.5881516587677726
31,519,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.18,836.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5606635071090047,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.32322274881516583,0.3417535545023697,0.5717535545023696,0.5630331753554503,0.5881516587677726
32,535,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,500GB HDD,AMD Radeon R5 M430,Windows 10,2.3,585.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.12748815165876778,0.30146919431279623,0.6706161137440758,0.5434597156398104,0.5881516587677726
33,580,Lenovo,Thinkpad E570,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.3,830.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.3194312796208531,0.3417535545023697,0.6706161137440758,0.562654028436019,0.5881516587677726
34,597,Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,15.6,Touchscreen 1366x768,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 520,Windows 10,2.2,739.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.24739336492890995,0.3417535545023697,0.612559241706161,0.5554502369668246,0.2165876777251185
35,623,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,128GB SSD,AMD Radeon R5 M420,Linux,2.18,569.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5606635071090047,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.11706161137440758,0.30146919431279623,0.5717535545023696,0.5424170616113744,0.5881516587677726
36,630,Fujitsu,LifeBook A557,Notebook,15.6,1366x768,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,799.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.2947867298578199,0.3417535545023697,0.612559241706161,0.5601895734597157,0.2165876777251185
37,634,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,128GB SSD,Intel HD Graphics 620,No OS,2.2,468.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.05260663507109005,0.30146919431279623,0.612559241706161,0.5359715639810426,0.5881516587677726
38,676,Toshiba,Tecra Z50-D-10E,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,1258.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.6113744075829384,0.3417535545023697,0.48715639810426536,0.5918483412322275,0.5881516587677726
39,680,Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.3,1034.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.11895734597156399,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.4720379146919431,0.3417535545023697,0.11398104265402843,0.4788625592417062,0.4890995260663508
40,699,Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.7,699.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.2909952606635071,0.11137440758293839,0.25687203791469193,1920,0.5857819905213271,0.21753554502369668,0.30146919431279623,0.2807582938388625,0.48431279620853074,0.5200000000000001
41,711,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.1,621.45,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5218009478672986,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.15924170616113742,0.30146919431279623,0.5445497630331754,0.5466350710900474,0.5881516587677726
42,713,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.18,795.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5606635071090047,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.2881516587677725,0.3417535545023697,0.5717535545023696,0.5595260663507109,0.5881516587677726
43,742,Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.44,960.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.1881516587677725,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.42132701421800944,0.3417535545023697,0.1624170616113744,0.4737914691943128,0.4890995260663508
44,772,Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.2,1129.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.04691943127962086,0.514218009478673,0.10236966824644549,3200,0.9895734597156398,0.5355450236966824,0.3417535545023697,0.06355450236966824,0.4852132701421801,0.8121327014218009
45,806,Dell,Latitude 3580,Notebook,15.6,1366x768,Core i5 7200U,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.95,810.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.3052132701421801,0.3417535545023697,0.46327014218009477,0.5612322274881517,0.2165876777251185
46,810,Asus,Pro P2540UA-XS51,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.37,1099.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7464454976303316,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.5146919431279621,0.3417535545023697,0.7018009478672984,0.5821800947867298,0.5881516587677726
47,811,Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.29,1499.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.10758293838862559,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.7274881516587678,0.3417535545023697,0.10601895734597155,0.5044075829383886,0.4890995260663508
48,818,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Nvidia GeForce 920M,Windows 10,2.4,609.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7663507109004739,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.14928909952606634,0.30146919431279623,0.715734597156398,0.5456398104265403,0.5881516587677726
49,821,Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,0.81,1499.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.0014218009478672985,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.7274881516587678,0.3417535545023697,0.03170616113744076,0.5044075829383886,0.4890995260663508
50,835,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Touchscreen / Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,1358.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.01848341232227488,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.6654028436018957,0.3417535545023697,0.04364928909952606,0.49819905213270144,0.4890995260663508
51,866,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.9,945.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.3744075829383886,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.4071090047393365,0.3417535545023697,0.44137440758293833,0.5714218009478673,0.5881516587677726
52,879,Acer,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Notebook,14.0,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.56,902.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.23601895734597156,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.3834123222748815,0.3417535545023697,0.24227488151658766,0.5009004739336492,0.5200000000000001
53,890,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.04,839.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.47156398104265407,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.3270142180094787,0.30146919431279623,0.5093838862559241,0.5634123222748815,0.5881516587677726
54,892,HP,Pavilion x360,2 in 1 Convertible,15.6,Touchscreen 1366x768,Core i5 7200U,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,2.3,684.8,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.11137440758293839,0.5976303317535545,1366,0.12132701421800947,0.2018957345971564,0.30146919431279623,0.6706161137440758,0.5509004739336493,0.2165876777251185
55,896,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,1799.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.1,0.11137440758293839,0.10236966824644549,1920,0.5857819905213271,0.8208530805687204,0.30146919431279623,0.10071090047393363,0.5137440758293839,0.4890995260663508
56,916,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.95,1962.99,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.8729857819905213,0.3417535545023697,0.46327014218009477,0.6180094786729858,0.5881516587677726
57,952,Dell,Latitude 7480,Ultrabook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,1639.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.14360189573459714,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.7687203791469195,0.3417535545023697,0.17758293838862557,0.539431279620853,0.5200000000000001
58,989,HP,Probook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04,979.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.47156398104265407,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.4322274881516588,0.3417535545023697,0.5093838862559241,0.5739336492890995,0.5881516587677726
59,1000,HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.04,806.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.47156398104265407,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.3033175355450237,0.3417535545023697,0.5093838862559241,0.561042654028436,0.5881516587677726
