,Best Seller Ranking,Brand,Series,Model,Color,Operating System,CPU,Screen,Memory,Storage,Graphics Card,Video Memory,Dimensions (W x D x H),Weight,CPU Type,CPU Speed,Turbo Frequency,Number of Cores,CPU L3 Cache,Screen Size,Touchscreen,Wide Screen Support,Display Type,Resolution,Panel,LCD Features,GPU/VPU,Graphic Type,SSD,Memory Spec,Memory Slot (Total),Memory Slot (Available),Optical Drive Type,WLAN,WiFi Generation,Bluetooth,USB,HDMI,Keyboard,Backlit Keyboard,Webcam,Card Reader,Style,Type,Usage,Battery,Battery Life,Package Content,Date First Available,Price,Part Number,HDD,Memory Speed,Other Features,Core Name,Storage Spec,Max Memory Supported,Optical Drive Spec,Thunderbolt,Audio Ports,Touchpad,AC Adapter,Consumer Alert,Color Gamut,Audio,Memory Type,LAN,Ethernet,Speaker,Bezel Design,Chipset,Software Included,HDD RPM,HDD Interface,CPU Support,Video Port,Package Type,Other port,CPU L2 Cache,Refresh Rate,Virtual Reality Ready,Pointing Stick,Thunderbolt 3,Optical Drive,Tech,Smart Cache,Communication,Optical Drive Interface,Card slot
"ASUS Laptop VivoBook S S532EQ-DS79 Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 1 TB PCIe SSD NVIDIA GeForce MX350 15.6"" Windows 10 Home 64-bit",#60 in Laptops / Notebooks,ASUS,VivoBook S,S532EQ-DS79,Transparent Silver,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6""",16GB,1 TB PCIe SSD,NVIDIA GeForce MX350,2GB,"14.10"" x 9.10"" x 0.70""",4.00 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,,"250 nits, Anti-glare, 45% NTSC",NVIDIA GeForce MX350,Dedicated Card,1 TB PCIe,8 GB onboard + 8 GB x 1,1,0,No,Wi-Fi 6 (Gig+) (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A2 x USB 2.0 Type-A,1 x HDMI,Backlit Chiclet Keyboard with Num-key,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Mainstream,Consumer,"42 WHrs, 3S1P, 3-cell Li-ion",,,"March 09, 2021","2    999.99
Name: 128, dtype: object",90NB0T52-M00130,,,,Tiger Lake,,,,1 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,ScreenPad 2.0,,,45% NTSC,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook Pro 15 OLED Ultra Slim Laptop, 15.6"" FHD OLED Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, M3500QC-DS71",,ASUS,VivoBook Pro,M3500QC-DS71,Quiet Blue,Windows 11 Home 64-bit,AMD Ryzen 7 5800H 3.20 GHz,"15.6"" OLED",16GB,512 GB PCIe SSD,NVIDIA GeForce RTX 3050 Laptop GPU,4GB,"14.17"" x 9.26"" x 0.74""-0.78""",3.64 lbs.,AMD Ryzen 7 5000 Series,5800H (3.20GHz),Up to 4.40 GHz,8-core Processor,16 MB,"15.6""",No,Yes,Full HD,1920 x 1080,OLED,"OLED, 16:9, 400nits (HDR), Glare, 100% DCI-P3, Narrow border",NVIDIA GeForce RTX 3050 Laptop GPU,Dedicated Card,512 GB PCIe,16 GB onboard,0,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.2 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, With privacy shutter",Micro SD,Standard,Content Creation / Home / Personal,Consumer,"63WHrs, 3S1P, 3-cell Li-ion",,,"December 10, 2021","2    1,099.99
Name: 129, dtype: object",90NB0UT2-M004J0,No,,Fingerprint reader,,,,,,1 x 3.5mm Combo Audio Jack,,,,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 OLED K513 Thin & Light Laptop, 15.6"" OLED Display, Intel i7-1165G7 CPU, NVIDIA GeForce MX350, 16GB RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EQ-PB79",#56 in Laptops / Notebooks,ASUS,VivoBook,K513EQ-PB79,Indie Black,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6"" OLED",16GB,512 GB M.2 NVMe PCIe 3.0 SSD,NVIDIA GeForce MX350,2GB,"14.13"" x 9.25"" x 0.70""",3.97 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,OLED,"OLED, 400 nits, Glossy, 100% DCI-P3, Pantone Validated",NVIDIA GeForce MX350,Dedicated Card,512 GB PCIe,8 GB onboard + 8 GB x 1,1,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,720p HD camera,Micro SD,Thin and Light,Home / Personal,Consumer,"42WHrs, 3S1P, 3-cell Li-ion",,,"November 09, 2021","2    909.99
Name: 130, dtype: object",90NB0SK1-M02520,No,,Fingerprint readerTrusted Platform Module (Firmware TPM),Tiger Lake,"512 GB M.2 NVMe PCIe 3.0 SSDStorage Support:1 x M.2 2280 PCIe 3.0x21 x STD 2.5"" SATA HDD",,,,1 x Headphone out,,"65W AC AdapterOutput: 19V DC, 3.42A, 65WInput: 100~240V AC 50/60Hz universal",,100% DCI-P3,Audio by ICEpowerBuilt-in microphoneharman/kardon (Mainstream),,,,Built-in speaker,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 Thin and Light 15.6"" FHD, AMD Quad Core R3-3200U CPU, 8 GB DDR4 RAM, 128 GB SSD, AMD Radeon Vega 3 Graphics, Windows 10 in S Mode, F512DA-DB34, Slate Gray",#59 in Laptops / Notebooks,ASUS,VivoBook,F512DA-DB34,Slate Gray,Windows 10 S 64-bit,AMD Ryzen 3 3200U 2.60 GHz,"15.6""",8GB,128 GB M.2 SATA3 SSD,AMD Radeon Vega 3,Shared system memory,"14.10"" x 9.10"" x 0.78""",3.53 lbs.,AMD Ryzen 3 3000 Series,3200U (2.60GHz),,Dual-core Processor,4 MB,"15.6""",No,Yes,,1920 x 1080,,"Slim 250nits, 16:9, anti-Glare, NTSC: 45%",AMD Radeon Vega 3,Integrated Card,128 GB,4 GB x 1 + 4 GB on board,,,,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1,1 x USB 2.01 x USB 3.1 Type A (Gen 1)1 x USB 3.1 Type C (Gen 1),1 x HDMI,"Illuminated Chiclet KeyboardASUS 348mm keyboard with 19mm full size key pitch, integrated Numeric keypad",Backlit,HD Web Camera,Micro SD,Thin and Light,Mainstream,Consumer,"37WHrs, 2S1P, 2-cell Li-ion",,,"March 09, 2022","2    494.99
Name: 131, dtype: object",90NB0LZ3-M09250,,,Fingerprint reader,,128 GB M.2 SATA3 SSD,12 GB,,,1 x Headphone/Microphone Combo Jack,,45-watt AC Adapter,,,Sonic Master,,,,,,,Includes 1 month Trial for New Microsoft Office 365 CustomersASUS Live UpdateASUS GiftBox* Signature OS don't support 3rd party APP,,,,,,,1MB,,,,,,,,,,
"HP Pavilion Laptop Computer 14"" FHD AMD Ryzen 5 8 GB memory; 256 GB SSD  Windows",,HP,,,Silver,Windows 11 Home,,,8GB,,,,12.8 x 8.53 x 0.67 in,3.11 lb,AMD Ryzen 5,4.0GHz,,,,"14.0""",,,,,,,AMD Radeon Graphics,Integrated Card,256 GB,,,,,Realtek Wi-Fi 6 (2x2) and Bluetooth® 5.2 combo (Supporting Gigabit data rate),Wi-Fi 6,Bluetooth® 5.2,,,,,,,,Everyday Value,,Lithium Polymer,43Whr,,"February 16, 2022","2    479.99
Name: 132, dtype: object",56S47UA#ABA,,,,,,,,,Audio by B&O; Dual speakers; HP Audio Boost,,65-watt AC Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6"" FHD Display, Intel Core i5-1135G7 Processor, 8 GB DDR4 RAM, 512 GB PCIe SSD, Wi-Fi 6, Windows 10 Home, Dreamy White, S533EA-DH51-WH",#94 in Laptops / Notebooks,ASUS,VivoBook S15,S533EA-DH51-WH,Dreamy White,Windows 10 Home 64-bit,Intel Core i5-1135G7 2.40 GHz,"15.6""",8GB,512 GB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"14.17"" x 9.20"" x 0.63""",3.97 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),Up to 4.20 GHz,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,,Matte,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,8 GB onboard,,,No,Wi-Fi 6 (Gig+) (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,2 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C,1 x HDMI,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, Without privacy shutter",,Thin and Light,Home / Personal,Consumer,"50WHrs, 3S1P, 3-cell Li-ion",,,"December 01, 2020","2    699.99
Name: 133, dtype: object",90NB0SF4-M00400,,,,Tiger Lake,,,,,1 x 3.5mm Combo Audio Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Ideapad Slim 7 Pro 14"" 2.8K Touchscreen Laptop Intel Core i5-11300H 16GB RAM 512GB SSD Slate Grey",#93 in Laptops / Notebooks,Lenovo,IdeaPad Slim 7 Pro 14IHU5,82QT0004US,Slate Gray (Aluminium),Windows 11 Home 64-bit,Intel Core i5-11300H 3.10 GHz,"14"" IPS Touchscreen",16GB,512 GB M.2 2280 PCIe 3.0x4 NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"12.29"" x 8.72"" x 0.57""-0.67""",3.04 lbs.,Intel Core i5 11th Gen,11300H (3.10 GHz),,Quad-core Processor,8 MB,"14.0""",10-point Multi-touch,Yes,,2880 x 1800,IPS,"IPS 400nits Glossy, Touch, 90Hz, 100% sRGB, Dolby Vision, Glass",Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,16 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.1,1 x USB 3.2 Gen 1 (Always On),,"Backlit, English (US)",Backlit,IR & 720p + ToF Sensor,,Thin and Light,,Consumer,Integrated 61Wh,MobileMark 2014: 18 hrMobileMark 2018: 13 hrLocal video (1080p) playback@150nits: 20.6 hr,,"October 23, 2021","2    739.99
Name: 134, dtype: object",,No,LPDDR4X 4266,Firmware TPM 2.0 integrated in chipsetIntel Evo Platform,Tiger Lake,"One drive, up to 1TB M.2 2280 SSD",16 GB,,"2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x Headphone / microphone combo jack (3.5mm),,65W USB-C Slim (3-pin),,100% sRGB,"High Definition (HD) Audio, Realtek ALC3306 codec",,,,"Stereo speakers, 2W x2, Dolby Atmos, Harman Speakers",,,,,,,,,,,,,,,,,,,,
"HP 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1165G7 Processor, 32GB RAM, 1TB PCIe SSD, Wi-Fi 6, Backlit Keyboard, Windows 10 Home, Silver",,HP,,,Silver,Windows 10 Home,,,32GB,,,,,,Intel Core i7 11th Gen,2.80GHz,,,,"17.3""",Yes,,,,,,Intel Iris Xe Graphics,,1 TB PCIe,,,,,,,,,,,,,,,,,,,,"January 10, 2022","2    1,039.00
Name: 135, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13.3"" 128GB SSD, 8GB RAM 2.2Ghz Dual-Core Intel Core i7 Silver Z0UU3LL/A",,Apple,MacBook Air,Z0UU3LL/A,Silver,macOS,Intel Core i7,"13.3""",8GB,128GB SSD,,,,,Intel Core i7,2.20GHz,,Dual-core Processor,,"13.3""",,,,1440-by-900,,LED-backlit glossy widescreen display,,Intel HD Graphics 6000,128 GB,,,,,802.11ac,,Bluetooth 4.0,"Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port, SDXC card slot",,Full-size keyboard,individual LED-backlit,720p FaceTime HD camera,,,,,,,,"March 27, 2019","2    749.99
Name: 136, dtype: object",G0UU0LL/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Laptop Modern 14 B11MO-203 Intel Core i3 11th Gen 1115G4 (3.00GHz) 8GB Memory 512 GB NVMe SSD Intel UHD Graphics 14.0"" Windows 10 Home 64-bit",,MSI,,Modern 14 B11MO-203,Beige Mousse,Windows 10 Home 64-bit,Intel Core i3-1115G4 3.00 GHz,"14"" IPS",8GB,512 GB NVMe SSD,Intel UHD Graphics,Shared system memory,"12.68"" x 8.74"" x 0.63""",2.62 lbs.,Intel Core i3 11th Gen,1115G4 (3.00GHz),Up to 4.20 GHz,Dual-core Processor,6 MB,"14.0""",No,Yes,Full HD,1920 x 1080,IPS,THIN BEZEL IPS-Level 60 Hz 45% NTSC,Intel UHD Graphics,Integrated Card,512 GB NVMe,8 GB x 1,1,0,No,Intel 9560 Jefferson Peak (2x2 802.11ac),Wi-Fi 5,Bluetooth 5.0,1 x USB 3.2 Gen 2 Type-C 2 x USB 3.2 Gen 1 Type-A,1 x HDMI (4K @ 30Hz),White backlight 84 Key,Backlit,720p HD Webcam,Micro SD,Thin and Light,Mainstream,Consumer,3 cell (39 Whr) Li-Polymer,,,"February 03, 2021","2    449.00
Name: 137, dtype: object",,,DDR4 3200,,Tiger Lake,,32 GB,,,Mic-in/Headphone-out Combo,Multi Touch,65-watt AC Adapter,,45% NTSC,,,,,Speakers 2W x 2,Thin,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook F Series Laptop, 14"" FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 8GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home (F415EA-UB51)",,ASUS,VivoBook,F Series,Dark Gray,Windows 10 Home,Intel Core i5-1135G7,"14"" FHD Display",8GB,256 GB,Intel Iris Xe Graphics,,"8.5"" x 12.81"" x 0.78""",3 - 3.9 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),4.2GHz,Quad-core Processor,,"14.0""",No,Yes,Full HD,1920 x 1080,,,Intel Iris Xe Graphics,Integrated Card,256 GB,8 GB x 1,1,1,,Wi-Fi 5 (802.11ac),,Bluetooth 4.2,"1x USB 3.2 Gen 1, 2x USB 2.0, 1x USB-C 3.1 Gen 1",1 x HDMI,Backlit Keyboard,Backlit,Yes,Micro SD,,Mainstream,,3-cell Lithium Ion,> 5 hours,,"December 27, 2021","2    599.99
Name: 138, dtype: object",F415EA-UB51,No,DDR4 2400,,,256GB NVMe SSD,24 GB,,,1 x Headphone/Microphone Combo Jack,Yes,45-watt AC Adapter,,,Integrated Sound card,1 x SO-DIMM,10/100/1000Mbps,,Integrated Stereo Speakers,,,,,,8MB SmartCache,1x HDMI,Retail,,,,,,,,,,,,
"ASUS Laptop ZenBook UX325EA-XH74 Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 13.3"" Windows 11 Pro 64-bit",,ASUS,ZenBook,UX325EA-XH74,Pine Gray,Windows 11 Pro 64-bit,Intel Core i7-1165G7 2.80 GHz,"13.3"" OLED",16GB,512 GB PCIe SSD + TPM,Intel Iris Xe Graphics,Shared system memory,"12.00"" x 8.00"" x 0.50""",2.51 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),,Quad-core Processor,12 MB,"13.3""",No,Yes,Full HD,1920 x 1080,OLED,"OLED, 16:9, 400nits (HDR), Glare, 100% DCI-P3, Wide View, Narrow border",Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,16 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A,1 x HDMI 2.0b,Backlit Chiclet Keyboard,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Home / Personal,Consumer,"67WHrs, 4S1P, 4-cell Li-ion",,"Sleeve, USB-C to audio jack adapter","December 10, 2021","2    1,099.99
Name: 139, dtype: object",90NB0SL1-M001K0,No,,,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power delivery,,,,,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"2021 Newest HP 17t Business Laptop | 17.3"" HD+ Touch Display | 11th Gen Intel Core i7-1165G7 | 32GB DDR4 RAM | 1TB PCIe SSD | Wi-Fi 6 | Backlit KB | Webcam | HDMI | Win10 Enterprise | Silver",,,,,Silver,Windows 10,,,32GB,,,,,,Intel Core i7 11th Gen,2.80GHz,,,,"17.3""",Yes,,HD+,1600 x 900,,,Intel Iris Xe Graphics,,1 TB,,,,,,,,,,,,,,,Work / Business,,,,,"October 26, 2021","2    1,149.00
Name: 140, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG Gram Ultra-Slim Laptop 17Z95N-G.AAS8U1 Intel Core i7 11th Gen 1165G7 (2.80 GHz) 16 GB Memory 1 TB NVMe SSD Intel Iris Xe Graphics 17"" IPS 2560 x 1600 Windows 10 Home 64-bit",,LG,Gram,17Z95N-G.AAS8U1,Dark Silver,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"17"" IPS",16GB,1 TB NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"15.00"" x 10.30"" x 0.70""",2.98 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"17.0""",No,Yes,WQXGA,2560 x 1600,IPS,,Intel Iris Xe Graphics,Integrated Card,1 TB NVMe,16 GB onboard,0,0,No,Intel Wi-Fi 6 AX201,Wi-Fi 6,Bluetooth 5.1,3 x USB 3.2 Gen 2x1,1 x HDMI,,Backlit,HD Webcam,UFS/Micro-SD,Thin and Light,Education / Home / Personal / Work / Business,Consumer,"80 Wh, 2-cell Lithium Ion",Up to 19 Hours,,"June 04, 2021","2    1,449.99
Name: 141, dtype: object",,No,LPDDR4X 4266,MIL-STD-810G PassedFingerprint ID,Tiger Lake,,,,1 x Thunderbolt 3,Headphone Out,,,,96% sRGB,DTS X:Ultra,,10/100Mbit (USB-C Port with R45 gender),,Stereo 1.5W x 2,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook Pro 15 OLED Slim Laptop, 15.6"" FHD OLED Display, Intel Core i5-11300H CPU, NVIDIA GeForce GTX 1650 Max-Q, 8GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, K3500PH-DB51",,ASUS,VivoBook Pro,K3500PH-DB51,Quiet Blue,Windows 11 Home 64-bit,Itel Core i5-11300H 3.10 GHz,"15.6"" OLED",8GB,512 GB PCIe SSD,NVIDIA GeForce GTX 1650 Max-Q,4GB,"14.17"" x 9.26"" x 0.74""-0.78""",3.64 lbs.,Intel Core i5 11th Gen,11300H (3.10 GHz),Up to 4.40 GHz,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,OLED,"OLED, 16:9, 400nits (HDR), Glare, 100% DCI-P3, Narrow border",NVIDIA GeForce GTX 1650 Max-Q,Dedicated Card,512 GB PCIe,8 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, With privacy shutter",Micro SD,Thin and Light,Home / Personal,Consumer,"63WHrs, 3S1P, 3-cell Li-ion",,,"December 29, 2021","2    859.99
Name: 142, dtype: object",90NB0UV2-M03750,No,,Fingerprint reader,Tiger Lake,,,,1 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,,,,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Laptop IdeaPad 3 17ALC6 82KV006RUS AMD Ryzen 5 5000 Series 5500U (2.10GHz) 8GB Memory 512 GB PCIe SSD AMD Radeon Graphics 17.3"" Windows 11 Home 64-bit",#74 in Laptops / Notebooks,Lenovo,IdeaPad 3 17ALC6,82KV006RUS,Abyss Blue,Windows 11 Home 64-bit,AMD Ryzen 5 5500U 2.10 GHz,"17.3""",8GB,512 GB M.2 2242 PCIe 3.0x4 NVMe SSD,AMD Radeon Graphics,Shared system memory,"15.71"" x 10.79"" x 0.78""",4.63 lbs.,AMD Ryzen 5 5000 Series,5500U (2.10GHz),,6-core Processor,8 MB,"17.3""",No,Yes,HD+,1600 x 900,TN,"TN 250nits Anti-glare, 60% NTSC",AMD Radeon Graphics,Integrated Card,512 GB PCIe,4 GB onboard + 4 GB x 1,1,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 5.0,1 x USB 2.01 x USB 3.2 Gen 11 x USB-C 3.2 Gen 1 (support data transfer only),1 x HDMI 1.4b,,Non-backlit,720p with Privacy Shutter,4-in-1,Standard,Home / Personal,Consumer,Integrated 45Wh,MobileMark 2018: 8.5 hrLocal video (1080p) playback@150nits: 10 hr,,"January 05, 2022","2    520.99
Name: 143, dtype: object",,No,DDR4 3200,Security Chip: Firmware TPM 2.0Fingerprint Reader: Touch Style,,"One drive, 1x M.2 SSDM.2 2242 SSD up to 512GBM.2 2280 SSD up to 512GB",,,,1 x Headphone / microphone combo jack (3.5mm),,"65W Round Tip (2-pin, Wall-mount)",,60% NTSC,"High Definition (HD) Audio, Realtek ALC3287 codec",,,,"Stereo speakers, 1.5W x 2, Dolby Audio",,,,,,,,,,,,,,,,,,,,
"2022 Newest HP Envy x360 2-in-1 Flip Laptop, 15.6"" Full HD TouchScreen Display, Intel Core i7-1165G7 4-Core Processor, 32GB RAM, 1TB SSD, Backlit Keyboard, Windows 11 Home, HP Stylus Pen Included",,,,,Silver,Windows 11 Home,,,32GB,,,,,,Intel Core i7 11th Gen,2.80GHz,,,,"15.6""",Yes,,,,,,Intel Iris Xe Graphics,,1 TB,,,,,,,,,,,,,,,Everyday Value,,,,,"March 29, 2022","2    1,230.00
Name: 144, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude 5480 14-inch Business Laptop Notebook PC Intel i5-6300U 2.4GHz 8GB DDR4 500GB HDD Backlit Keyboard Windows 10 Pro Mazepoly Accessory (Renewed),,,,,Black,Windows 10 Pro,,,8GB,,,,,,,,,,,"14.0""",,,,,,,,,,,,,,,,,,,,,,,,Work / Business,,,,,"October 11, 2021","2    319.99
Name: 145, dtype: object",,500GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Laptop Aspire 5 A514-54-501Z Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit",,Acer,Aspire 5,A514-54-501Z,Gold,Windows 11 Home 64-bit,Intel Core i5-1135G7 2.40 GHz,"14"" IPS",8GB,256 GB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"12.90"" x 8.80"" x 0.71""",3.20 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),,Quad-core Processor,8 MB,"14.0""",No,Yes,Full HD,1920 x 1080,IPS,ComfyView,Intel Iris Xe Graphics,Integrated Card,256 GB PCIe,,,,No,802.11ax  Wireless LAN,Wi-Fi 6,,1 x USB 3.2 Gen 1 Type-C / 2 x USB 3.2 Gen 1 Type-A,1 x HDMI,,,,,Thin and Light,Home / Personal,Consumer,3-cell Lithium Ion,Up to 10 Hours,Aspire 5 A514-54-501Z NotebookLithium Ion BatteryAC Adapter,"March 01, 2022","2    489.00
Name: 146, dtype: object",NX.A25AA.002,No,,,Tiger Lake,,,,,,,45-watt AC Adapter,,,,,10/100/1000Mbps,1 x RJ-45 (1Gbps),,,,,,,,,,,,,,,,,,,,,
"Acer Laptop Aspire Vero AV15-51-75QQ Intel Core i7 11th Gen 1195G7 (2.90GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit",,Acer,Aspire Vero,AV15-51-75QQ,Volcanic Gray,Windows 11 Home 64-bit,Intel Core i7-1195G7 2.90 GHz,"15.6"" IPS",16GB,512 GB PCIe NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"14.30"" x 9.40"" x 0.70""",3.97 lbs.,Intel Core i7 11th Gen,1195G7 (2.90GHz),,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,Widescreen LED-backlit IPS Display,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,8 GB onboard + 8 GB x 1,1,0,No,Intel Wireless Wi-Fi 6 AX201 802.11ax Dual-Band 2.4GHz and 5GHz featuring 2x2 MU-MIMO technology (Max Speed up to 2.4Gbps),Wi-Fi 6,Bluetooth 5.0,1 x USB 3.2 Gen 1 Type-C (up to 5 Gbps)2 x USB 3.2 Gen 1 Type-A (one with Power-off Charging)1 x USB 2.0,1 x HDMI 2.0,,Backlit,HD Webcam (1280 x 720),,Standard,Home / Personal,Consumer,3-cell Lithium Ion,Up to 7.5 hours,LaptopAC Adapter & Power Cord,"December 29, 2021","2    881.99
Name: 147, dtype: object",NX.AYCAA.002,No,,"Acer Bio-Protection Fingerprint Solution, featuring Computer Protection and Windows Hello Certification",Tiger Lake,,16 GB,,,1 x Headphone/Microphone Combo Jack,,65-watt AC Adapter,,,Acer TrueHarmony TechnologyAcer Purified.Voice Technology with AI Noise Reduction & Two Built-in MicrophonesCompatible with Cortana with Voice,,10/100/1000Mbps,1 x RJ-45 (1Gbps),Two Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,
"Lenovo Legion 7 16"" Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 1TB SSD RTX 3070 8GB GDDR6 Storm Gray - AMD Ryzen 7-5800H Octa-core - Windows 11 Home - 2560 x 1600 WQXGA - NVIDIA GeForce RTX 3070 -",,Lenovo,,,Gray,Windows 11 Home,,,16GB,,,,,,,,,,,"16.0""",,,,2560 x 1600,,165Hz,,Integrated Card,,,,,No,,,Yes,,1 x HDMI,,,,,,Gaming,,,,,"January 31, 2022","2    1,579.99
Name: 149, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022 Newest Lenovo Ideapad 3i Laptop, 15.6"" Full HD 1080P Non-Touch Display, Intel Pentium Gold 7505 Processor, 20GB DDR4 RAM, 1TB SSD, Webcam, HDMI, Wireless-AX Wi-Fi 6, Bluetoooth, Windows 11 Home",#17 in Laptops / Notebooks,,,,Grey,Windows 11 Home,,,20GB,,,,,,Intel Pentium Gold,2.00GHz,,,,"15.6""",No,,,,,,Intel UHD Graphics,,1 TB,,,,,,,,,,,,,,,Home / Personal,,,,,"December 31, 2021","2    599.00
Name: 150, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
